rdoIdx     armIdx    refApvIdx    apvIdx    sigElecChanId    glbElecChanId    glbGeomChanId
1    0    1    1    97    225    184
1    0    1    1    98    226    312
1    0    1    1    99    227    440
1    0    1    1    100    228    57
1    0    1    1    101    229    185
1    0    1    1    102    230    313
1    0    1    1    103    231    441
1    0    1    1    104    232    58
1    0    1    1    105    233    186
1    0    1    1    106    234    314
1    0    1    1    107    235    442
1    0    1    1    108    236    59
1    0    1    1    109    237    187
1    0    1    1    110    238    315
1    0    1    1    111    239    443
1    0    1    1    112    240    60
1    0    1    1    113    241    188
1    0    1    1    114    242    316
1    0    1    1    115    243    444
1    0    1    1    116    244    61
1    0    1    1    117    245    189
1    0    1    1    118    246    317
1    0    1    1    119    247    445
1    0    1    1    120    248    62
1    0    1    1    121    249    190
1    0    1    1    122    250    318
1    0    1    1    123    251    446
1    0    1    1    124    252    63
1    0    1    1    125    253    191
1    0    1    1    126    254    319
1    0    1    1    127    255    447
1    0    2    2    0    256    448
1    0    2    2    1    257    320
1    0    2    2    2    258    192
1    0    2    2    3    259    64
1    0    2    2    4    260    449
1    0    2    2    5    261    321
1    0    2    2    6    262    193
1    0    2    2    7    263    65
1    0    2    2    8    264    450
1    0    2    2    9    265    322
1    0    2    2    10    266    194
1    0    2    2    11    267    66
1    0    2    2    12    268    451
1    0    2    2    13    269    323
1    0    2    2    14    270    195
1    0    2    2    15    271    67
1    0    2    2    16    272    452
1    0    2    2    17    273    324
1    0    2    2    18    274    196
1    0    2    2    19    275    68
1    0    2    2    20    276    453
1    0    2    2    21    277    325
1    0    2    2    22    278    197
1    0    2    2    23    279    69
1    0    2    2    24    280    454
1    0    2    2    25    281    326
1    0    2    2    26    282    198
1    0    2    2    27    283    70
1    0    2    2    28    284    455
1    0    2    2    29    285    327
1    0    2    2    30    286    199
1    0    2    2    31    287    71
1    0    2    2    32    288    456
1    0    2    2    33    289    328
1    0    2    2    34    290    200
1    0    2    2    35    291    72
1    0    2    2    36    292    457
1    0    2    2    37    293    329
1    0    2    2    38    294    201
1    0    2    2    39    295    73
1    0    2    2    40    296    458
1    0    2    2    41    297    330
1    0    2    2    42    298    202
1    0    2    2    43    299    74
1    0    2    2    44    300    459
1    0    2    2    45    301    331
1    0    2    2    46    302    203
